property_id,latitude,longitude,park,gym,shop
4921f0e7eff85225e6d1c6965ce1a006,51.59084259999999,-0.0618819,"Walthamstow Wetlands, London Wildlife Trust",Tottenham Green Leisure Centre,Tesco Superstore
3c564038fcafbe0a60a3fd750d51b09e,51.59084259999999,-0.0618819,"Walthamstow Wetlands, London Wildlife Trust",Tottenham Green Leisure Centre,Tesco Superstore
711f716885600c129fbfecfb8616fb8c,51.4871735,-0.0363705,Deptford Park,Surrey Docks Fitness & Water Sports Centre,Lidl
0e25f8eb89e4afae97eb04037a57fc91,51.4871735,-0.0363705,Deptford Park,Surrey Docks Fitness & Water Sports Centre,Lidl
ad0c055cbfec5a5ec4cfe3d21af1b11e,51.5340373,-0.1199176,"Camley Street Natural Park, London Wildlife Trust",Samsung KX,Tesco Express
88158bb8c106987d6dcf7118a5d5a558,51.4272428,-0.3302796,The King's Head,The Lensbury,Tesco Superstore
7e402f3af6eb21e6d248486c3024e85a,51.442328,-0.0153087,Mountsfield Park,The Gym Group London Catford,ALDI
40ffeca3bf050b9b890c9554eecedeb0,51.5544574,-0.1933721,Camden Art Centre Café & Garden,The Gym Group London West Hampstead,Little Waitrose & Partners
e0b7d32da23b60edd180b3ce766a55b3,51.5086937,-0.1484713,Hyde Park Winter Wonderland,The Lanesborough,Marks and Spencer
f5a734c4ead7fb94b7add90fc0fc079b,51.4999577,-0.0834213999999999,Potters Fields Park,London Bridge Hotel,Lidl
62b14afe28a34579ba8a65d8ce4c6f89,51.4860461,-0.2086546,Normand Park,Virgin Active,Tesco Superstore
ee9e008ff2ca0ae6ef2119c472df4c49,51.5404118,-0.0698869,London Fields,Waking Dreams,ALDI
559dc2baee81ebb2fa612bee2db63f62,51.46337519999999,-0.1425563,Clapham Common,Clapham Leisure Centre - Active Lambeth,Sainsbury's
c19de0f6537af0ecb8f22c59423b4117,51.4903219,-0.1226345,Garden Museum,Park Plaza London Riverbank,Tesco Superstore
56fd76b07f9fc3f2ff7b3f6ac8463672,51.5039538,-0.0999878,No park,London Bridge Hotel,Waitrose & Partners
67d4fdc7d8bfbd374e7c53763b1f3685,51.4633745,-0.1066992,Ruskin Park,Brixton Recreation Centre,Tesco Superstore
c316fa9baa1e2f05861cce43c301f2e6,51.5558596,-0.179536,National Trust - Fenton House and Garden,Virgin Active,Sainsbury's
9af5d3aac4c5cb4aa87a255b5dba82d4,51.4909517,-0.1999571,No park,Virgin Active,Tesco Superstore
e3408c0b084f33ff9e5f63a561f4b524,51.5121513,-0.266765,Acton Park,David Lloyd Acton Park,Morrisons
5bace84feaa8d97eaee4248804330bc7,51.4698437,-0.0772326,The CLF Art Lounge & Roof Garden,Peckham Pulse Leisure Centre,Morrisons
199a2417038d9a649ac6a667171b1976,51.4990283,-0.0837196,Potters Fields Park,London Bridge Hotel,Lidl
9c837cd2ebb9325f520243bd973563d1,51.5434507,-0.2104054,Queen's Park,Nuffield Health Brondesbury Park Fitness & Wellbeing Gym,Tesco Express
11767e247c09c317889562a81f48ce60,51.4807305,-0.2062152,Eel Brook Common,Virgin Active,Waitrose & Partners
48cc5f542a9615cb3a95fb6943534b91,51.5450479,-0.1865469,Kilburn Grange Park,PureGym London Swiss Cottage - Women's Workout Space Coming Soon!,Waitrose & Partners
22f9d3bf99779d9864102403178ed461,51.5232541,-0.1260235,Russell Square,Oasis Sports Centre,Lidl
d5152cbe6bb157d7043bf1b55d9edae4,51.4814963,-0.1279898,Vauxhall City Farm,PureGym London Lambeth,Sainsbury's
913ad42cb77e40df348282bb01f8cb7a,51.5219726,-0.0792336999999999,Barbican Conservatory,BLOK Shoreditch,Marks and Spencer
f7fd8de09ab49b883e844bf0697c6089,51.5000773,-0.2139411,Holland Park,PureGym London Hammersmith Palais,Tesco Superstore
39f39db6393bd31ca171ecf632404cf5,51.5014203,-0.1862694,Kensington Gardens,David Lloyd Kensington,Whole Foods Market
ca66286f9f3c6140518061f8e8846d21,51.529622,-0.167885,The Regent's Park,1Rebel St John's Wood,ALDI
6b81cc7d6e2e78a9f15b62bac3efdf17,51.529622,-0.167885,The Regent's Park,1Rebel St John's Wood,ALDI
f522ae02ba32c2459e37c4ed94ea5ed5,51.5209533,-0.0985481,Barbican Conservatory,Finsbury Leisure Centre,Marks and Spencer
0321a604ebf0bdf04ac961d25f7fa6d0,51.5195008,0.0402407,Beckton District Park - North,Newham Leisure Centre,Lonsdale Supermarket
0640bc6bc6ba29ccc6b8ea87669631c2,51.5189256,-0.1730681,Italian Gardens,Royal Lancaster London,ALDI
796da6df6e86756e163a1e730663deba,51.48245379999999,-0.2235073,Lillie Road Recreation Ground,Nuffield Health Fulham Fitness and Wellbeing Centre,bp
588212836517f58ff40690bd869632fd,51.521304,-0.1722519,Rembrandt Gardens,The Gym Group London Paddington,ALDI
92b039bb5bfae1662857baa708c2cfee,51.4933698,-0.1277374,Garden Museum,Park Plaza London Riverbank,Sainsbury's
